name,syllabus,mode,semester,workload,date,time,teacherName,pictureUrl
Engenharia de Software,"A ementa da matéria de Engenharia de Software aborda os fundamentos e práticas essenciais para o desenvolvimento de sistemas de software robustos e eficientes. Inclui tópicos como ciclo de vida de desenvolvimento de software, metodologias ágeis, engenharia de requisitos, design de software, testes e garantia de qualidade, manutenção e evolução de software, gestão de projetos, e uso de ferramentas de suporte ao desenvolvimento. A disciplina enfatiza a importância da colaboração em equipe, a documentação adequada e a aplicação de boas práticas de engenharia para a produção de software de alta qualidade",Presencial,4,60,Mon/Wed,14:55,Marco Tulio,marco_tulio.png
Prática em Desenvolvimento de Software,"A ementa da matéria de Prática em Desenvolvimento de Software foca na aplicação prática de princípios e técnicas de engenharia de software para o desenvolvimento de sistemas reais. Os tópicos incluem análise de requisitos, design de software, implementação, testes, integração contínua e entrega contínua, além de práticas de programação colaborativa como programação em pares e revisão de código. A disciplina enfatiza o uso de ferramentas de desenvolvimento, controle de versão e metodologias ágeis, promovendo a experiência prática na resolução de problemas e na criação de software de alta qualidade em um ambiente de equipe.",Presencial,4,60,Mon/Wed,17:00,Marco Tulio,marco_tulio.png
Visualização de dados,"A ementa da matéria de Visualização de Dados abrange os princípios e técnicas essenciais para transformar dados complexos em representações visuais claras e informativas. Inclui tópicos como teoria das cores, design de gráficos, escolha de representações adequadas para diferentes tipos de dados, uso de ferramentas e bibliotecas de visualização (como Tableau, D3.js, Matplotlib), e análise de casos práticos. A disciplina também enfatiza a importância da ética na visualização de dados e a comunicação eficaz de informações através de gráficos e dashboards interativos.",Presencial,-1,60,Mon/Wed,13:00,Raquel Minardi,raquel_minardi.png
Static Program Analysis,"The goal of this class is to introduce the student to the most recent techniques that compilers use to analyze and optimize programs. The student will learn about dataflow and constraint based program analyses. He or she will have contact with type systems, and the many variants of inductive techniques to prove properties about programs. The class contains a number of expositive lectures, and some paper discussion. During the discussions, the students will have the opportunity to get in touch with state-of-the-art techniques published in top conferences in the field of programming languages. The class also features three project assignment, which will give the student the opportunity to use llvm, a industrial quality compiler, and twelf, a theorem prover. If you take the course, please, don't forget to provide the instructor with some feedback.",Presencial,-1,60,Mon/Wed,14:55,Fernando Quintão,fernando.png
Information Theory,"A ementa da matéria de Teoria da Informação abrange os princípios fundamentais e técnicas avançadas para a quantificação, armazenamento e comunicação de informações. Inclui tópicos como entropia, teoria da codificação, compressão de dados, capacidade de canal, teoremas de Shannon, e métodos de correção de erros. A disciplina explora tanto os fundamentos matemáticos quanto as aplicações práticas desses conceitos em áreas como telecomunicações, redes de computadores, criptografia e processamento de sinais, proporcionando uma compreensão profunda sobre a eficiência e a segurança na transmissão de informações.",Presencial,-1,60,Tue/Thu,14:55,Mario Alvim,mario_alvim.png
Testes de Software,"A ementa da matéria de Testes de Software aborda os fundamentos e práticas para garantir a qualidade e a confiabilidade de sistemas de software. Inclui tópicos como estratégias de teste (teste unitário, integração, sistema, aceitação), técnicas de design de casos de teste, automação de testes, testes de desempenho, e análise estática e dinâmica. A disciplina enfatiza a importância de identificar defeitos antecipadamente, utilizar ferramentas de apoio ao teste e seguir práticas de gestão de testes, proporcionando uma abordagem sistemática para validar e verificar software em diferentes fases do desenvolvimento.",Presencial,-1,60,Mon/Wed,14:55,Andre Hora,andre_hora.png
Ciência de Dados Aplicada ao Futebol,"A ementa da matéria de Ciência de Dados Aplicada no Futebol abrange a aplicação de técnicas de ciência de dados e análise estatística para melhorar a compreensão e o desempenho no esporte. Inclui tópicos como coleta e tratamento de dados de jogos, análise de desempenho de jogadores e equipes, uso de modelos preditivos para prever resultados e identificar talentos, visualização de dados esportivos, e implementação de algoritmos de machine learning para desenvolver estratégias de jogo. A disciplina enfatiza a utilização de ferramentas e tecnologias modernas para transformar dados em insights valiosos para clubes, técnicos e jogadores.",Presencial,-1,60,Mon/Wed,14:55,Wagner Meira,wagner_meira.png
Redes,"Redes de computadores corresponde ao estudo de sistemas de computação interconectados entre si. Existem diversos aspectos que podem ser estudados e neste curso enfatizaremos o estudo de arquitetura de redes principalmente do ponto de vista de redes locais, Internet, redes de alta velocidade e comunicação sem fio. Esta disciplina tem como objetivo principal dar ao aluno conceitos gerais ligados a redes de computadores.",Presencial,7,60,Mon/Wed,14:55,Marcos Augusto (flop),flop.png
Fundamentos da teoria da Computação,"A ementa da matéria de Fundamentos da Teoria da Computação abrange os conceitos teóricos fundamentais que formam a base da ciência da computação. Inclui tópicos como autômatos e linguagens formais, gramáticas, máquinas de Turing, decidibilidade, complexidade computacional, e problemas NP-completos. A disciplina explora como esses conceitos são usados para compreender as capacidades e limitações da computação, além de sua aplicação na resolução de problemas práticos e no desenvolvimento de algoritmos eficientes e corretos.",Presencial,4,60,Tue/Thu,17:00,Renato Vimieiro,renato_vimieiro.png
Cripitografia Criptomoeda e Blockchain,"A ementa da matéria de Criptografia, Criptomoeda e Blockchain abrange os conceitos fundamentais e técnicas avançadas na área de segurança digital e tecnologias descentralizadas. Inclui tópicos como princípios de criptografia (simétrica e assimétrica), assinaturas digitais, hash functions, fundamentos e funcionamento das criptomoedas (como Bitcoin e Ethereum), contratos inteligentes, e a tecnologia blockchain. A disciplina também explora aplicações práticas dessas tecnologias, desafios de segurança, e o impacto econômico e social das criptomoedas e do blockchain na sociedade moderna.",Presencial,-1,60,Mon/Wed,17:00,Jeroen,jeroen.png
